Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - JKE.txt

Data for: 2016-02-03 23:25:00 UTC - 2016-12-29 17:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
JKE	2016-02-03 23:25:00	-0.1	-0.005	0.022	-4.249	-0.1	-0.005	0.022	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	18:25:00	US/Eastern
JKE	2016-02-03 23:40:00	-0.1	-0.005	0.022	-4.249	-0.099	-0.005	0.022	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	18:40:00	US/Eastern
JKE	2016-02-03 23:55:00	-0.1	-0.005	0.022	-4.249	-0.098	-0.005	0.022	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	18:55:00	US/Eastern
JKE	2016-02-04 00:10:00	-0.1	-0.005	0.022	-4.249	-0.097	-0.005	0.022	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	19:10:00	US/Eastern
JKE	2016-02-04 00:25:00	-0.1	-0.005	0.022	-4.249	-0.096	-0.005	0.021	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	19:25:00	US/Eastern
JKE	2016-02-04 00:40:00	-0.1	-0.005	0.022	-4.249	-0.095	-0.005	0.021	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	19:40:00	US/Eastern
JKE	2016-02-04 00:55:00	-0.1	-0.005	0.022	-4.249	-0.094	-0.005	0.021	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	19:55:00	US/Eastern
JKE	2016-02-04 01:10:00	-0.1	-0.005	0.022	-4.249	-0.093	-0.005	0.021	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	20:10:00	US/Eastern
JKE	2016-02-04 01:25:00	-0.1	-0.005	0.022	-4.249	-0.092	-0.005	0.021	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	20:25:00	US/Eastern
JKE	2016-02-04 01:40:00	-0.1	-0.005	0.022	-4.249	-0.091	-0.005	0.02	-4.249	2	0.1	0.447	4.249	1.0	2.231	0.0	2016-02-03	20:40:00	US/Eastern
